Folio del reporte,Numero de remisión,Numero de operador,Nombre del operador,Fecha de reporte,Descripción,O.C.,Origen-Destino,Ruta autorizada,Cliente,Origen,CP,Ciudad,Colonia,Calle,Consumo diésel,Casetas,Hora salida,Hora llegada,Placas,Remolques,Dollies,Check
FR-0,3666,35,Operador 38,2025-11-02,Entrega,58328,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,29382,Ciudad,Centro,Calle 66,236.23,8,4:33,7:12,ABC-277,3,Sí,OK
FR-1,3141,2,Operador 30,2026-02-17,Entrega,86646,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,62739,Ciudad,Centro,Calle 89,263.64,9,17:54,14:58,ABC-456,1,No,Botón pánico
FR-2,1500,26,Operador 15,2025-12-31,Traslado,37394,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,42658,Ciudad,Centro,Calle 16,191.65,2,14:36,20:42,ABC-803,2,Sí,Botón pánico
FR-3,7178,41,Operador 36,2025-12-13,Traslado,81298,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,62879,Ciudad,Centro,Calle 4,184.93,9,10:39,18:57,ABC-171,1,Sí,Botón pánico
FR-4,2920,42,Operador 33,2025-10-01,Recolección,52006,CDMX-Veracruz,Ruta 1,Cliente 12,CDMX,56589,Ciudad,Centro,Calle 30,189.44,10,3:24,15:04,ABC-805,3,No,OK
FR-5,6891,8,Operador 7,2025-06-28,Recolección,58724,CDMX-Veracruz,Ruta 1,Cliente 14,CDMX,18933,Ciudad,Centro,Calle 53,123.21,10,7:14,11:48,ABC-157,1,Sí,Botón pánico
FR-6,6579,35,Operador 21,2025-05-05,Recolección,84902,CDMX-Veracruz,Ruta 1,Cliente 5,CDMX,79184,Ciudad,Centro,Calle 100,102.77,4,13:08,18:13,ABC-744,1,Sí,OK
FR-7,4859,27,Operador 6,2025-12-12,Traslado,66882,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,26531,Ciudad,Centro,Calle 2,85.08,10,17:58,5:05,ABC-400,2,Sí,OK
FR-8,3736,44,Operador 41,2025-10-01,Entrega,65854,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,57707,Ciudad,Centro,Calle 57,222.77,9,7:27,23:08,ABC-665,1,Sí,Cambio ruta
FR-9,6572,50,Operador 29,2025-06-10,Traslado,75243,CDMX-Veracruz,Ruta 1,Cliente 12,CDMX,26674,Ciudad,Centro,Calle 75,66.33,2,13:32,5:28,ABC-739,1,Sí,Botón pánico
