Folio del reporte,Numero de remisión,Numero de operador,Nombre del operador,Fecha de reporte,Descripción,O.C.,Origen-Destino,Ruta autorizada,Cliente,Origen,CP,Ciudad,Colonia,Calle,Consumo diésel,Casetas,Hora salida,Hora llegada,Placas,Remolques,Dollies,Check
FR-0,4749,13,,2026-02-07,Recolección,40031,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,63505,Ciudad,Centro,Calle 40,271.81,2,18:29,22:12,ABC-149,3,Sí,Cambio ruta
FR-1,5521,25,,2025-10-01,Traslado,56036,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,84002,Ciudad,Centro,Calle 48,169.94,1,8:27,22:50,ABC-132,1,Sí,OK
FR-2,9963,14,,2025-10-17,Traslado,59935,CDMX-Veracruz,Ruta 1,Cliente 14,CDMX,52067,Ciudad,Centro,Calle 22,83.86,3,21:10,16:21,ABC-770,3,No,OK
FR-3,5210,46,,2025-11-01,Traslado,71021,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,72156,Ciudad,Centro,Calle 36,281.4,2,4:28,15:30,ABC-555,3,No,OK
FR-4,1856,49,,2026-02-25,Recolección,89964,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,32460,Ciudad,Centro,Calle 71,286.31,3,3:12,14:09,ABC-798,2,Sí,OK
FR-5,9001,50,,2025-07-26,Traslado,45853,CDMX-Veracruz,Ruta 1,Cliente 4,CDMX,41766,Ciudad,Centro,Calle 45,261.38,8,3:53,21:26,ABC-102,2,No,Cambio ruta
FR-6,5429,16,,2025-06-15,Entrega,31469,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,78909,Ciudad,Centro,Calle 15,206.08,6,20:52,18:56,ABC-551,1,No,OK
FR-7,7655,8,,2025-08-21,Entrega,59620,CDMX-Veracruz,Ruta 1,Cliente 1,CDMX,27168,Ciudad,Centro,Calle 92,76.01,7,12:13,14:36,ABC-608,1,No,OK
FR-8,6825,4,,2025-12-27,Recolección,38631,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,50612,Ciudad,Centro,Calle 62,170.5,8,14:58,6:13,ABC-908,3,No,Cambio ruta
FR-9,8435,41,,2026-01-15,Entrega,37627,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,55174,Ciudad,Centro,Calle 51,62.09,8,10:59,19:05,ABC-443,1,No,Cambio ruta
FR-10,9426,8,,2025-11-04,Entrega,81007,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,60925,Ciudad,Centro,Calle 6,100.44,7,13:53,12:30,ABC-543,3,Sí,Cambio ruta
FR-11,7795,27,Operador 27,2026-01-01,Recolección,15729,CDMX-Veracruz,Ruta 1,Cliente 4,CDMX,26006,Ciudad,Centro,Calle 43,214.19,6,11:16,23:45,ABC-939,1,Sí,OK
FR-12,8025,29,Operador 39,2025-03-27,Traslado,41698,CDMX-Veracruz,Ruta 1,Cliente 3,CDMX,63082,Ciudad,Centro,Calle 49,168.53,5,8:36,7:53,ABC-288,2,No,Botón pánico
FR-13,1145,16,Operador 26,2026-01-06,Traslado,56010,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,81448,Ciudad,Centro,Calle 100,97.38,8,15:36,16:19,ABC-665,2,No,Cambio ruta
FR-14,7431,15,Operador 35,2026-03-12,Traslado,16604,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,40317,Ciudad,Centro,Calle 97,90.32,4,11:13,1:12,ABC-903,2,Sí,Botón pánico
FR-15,7549,22,Operador 25,2025-12-04,Entrega,20554,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,77333,Ciudad,Centro,Calle 82,81.97,9,23:37,22:37,ABC-896,2,Sí,OK
FR-16,2496,32,Operador 37,2025-08-05,Traslado,91706,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,88908,Ciudad,Centro,Calle 90,164.27,4,22:24,4:39,ABC-103,3,Sí,Botón pánico
FR-17,2266,44,Operador 38,2025-10-06,Traslado,14503,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,35518,Ciudad,Centro,Calle 48,110.65,5,23:27,2:43,ABC-913,1,Sí,Cambio ruta
FR-18,2828,19,Operador 39,2025-04-22,Traslado,84954,CDMX-Veracruz,Ruta 1,Cliente 1,CDMX,57280,Ciudad,Centro,Calle 83,238.17,8,18:13,16:54,ABC-472,2,Sí,Cambio ruta
FR-19,5439,48,Operador 6,2026-01-05,Entrega,76228,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,48948,Ciudad,Centro,Calle 65,271.52,2,4:53,8:37,ABC-384,2,No,Botón pánico
