Folio del reporte,Numero de remisión,Numero de operador,Nombre del operador,Fecha de reporte,Descripción,O.C.,Origen-Destino,Ruta autorizada,Cliente,Origen,CP,Ciudad,Colonia,Calle,Consumo diésel,Casetas,Hora salida,Hora llegada,Placas,Remolques,Dollies,Check
FR-0,4823,ERROR,Operador 10,2025-07-24,Entrega,81473,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,55515,Ciudad,Centro,Calle 16,66.87,2,11:32,23:58,ABC-310,3,No,OK
FR-1,7582,ERROR,Operador 3,2025-07-17,Entrega,52870,CDMX-Veracruz,Ruta 1,Cliente 11,CDMX,67134,Ciudad,Centro,Calle 27,106.13,5,6:26,9:10,ABC-603,3,Sí,Botón pánico
FR-2,8262,ERROR,Operador 4,2025-06-09,Recolección,33453,CDMX-Veracruz,Ruta 1,Cliente 5,CDMX,67445,Ciudad,Centro,Calle 75,295.68,8,10:12,10:45,ABC-893,1,No,Botón pánico
FR-3,7455,ERROR,Operador 8,2025-04-17,Entrega,36327,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,77857,Ciudad,Centro,Calle 72,51.23,1,9:46,1:58,ABC-729,3,Sí,Botón pánico
FR-4,7116,ERROR,Operador 48,2025-08-29,Entrega,72513,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,23447,Ciudad,Centro,Calle 45,128.67,1,17:15,21:39,ABC-378,2,No,Botón pánico
FR-5,5812,ERROR,Operador 18,2026-03-04,Recolección,86371,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,75424,Ciudad,Centro,Calle 52,71.52,5,4:22,23:55,ABC-368,1,No,OK
FR-6,6147,ERROR,Operador 2,2026-03-21,Recolección,37944,CDMX-Veracruz,Ruta 1,Cliente 1,CDMX,84044,Ciudad,Centro,Calle 56,71.27,8,4:16,23:24,ABC-293,2,No,Botón pánico
FR-7,9476,ERROR,Operador 48,2025-05-18,Recolección,39159,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,30242,Ciudad,Centro,Calle 42,276.87,1,6:29,10:53,ABC-571,3,No,Botón pánico
FR-8,2953,ERROR,Operador 47,2025-04-12,Recolección,60918,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,66329,Ciudad,Centro,Calle 10,240.02,7,10:19,16:21,ABC-837,3,Sí,Botón pánico
FR-9,7552,ERROR,Operador 12,2025-06-02,Recolección,35656,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,87796,Ciudad,Centro,Calle 43,125.34,5,7:32,6:11,ABC-449,3,No,Cambio ruta
FR-10,4060,ERROR,Operador 37,2025-10-20,Entrega,33777,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,87501,Ciudad,Centro,Calle 12,230.46,10,10:39,22:31,ABC-227,2,Sí,Botón pánico
FR-11,2835,ERROR,Operador 36,2025-07-18,Entrega,24286,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,22170,Ciudad,Centro,Calle 17,269.84,5,23:13,11:01,ABC-627,1,No,Cambio ruta
FR-12,5918,ERROR,Operador 35,2025-06-24,Traslado,76437,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,70207,Ciudad,Centro,Calle 99,116.99,7,0:57,21:21,ABC-510,1,Sí,Botón pánico
FR-13,2778,ERROR,Operador 48,2026-03-23,Traslado,55835,CDMX-Veracruz,Ruta 1,Cliente 1,CDMX,14639,Ciudad,Centro,Calle 6,143.63,6,4:41,16:26,ABC-221,2,No,Botón pánico
FR-14,3721,ERROR,Operador 31,2026-01-10,Recolección,49333,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,47681,Ciudad,Centro,Calle 5,193.04,10,20:58,19:41,ABC-984,1,Sí,Botón pánico
FR-15,7807,ERROR,Operador 8,2025-11-24,Entrega,93515,CDMX-Veracruz,Ruta 1,Cliente 12,CDMX,22712,Ciudad,Centro,Calle 36,55.81,7,10:43,21:12,ABC-153,3,Sí,Cambio ruta
FR-16,6102,ERROR,Operador 5,2026-03-17,Entrega,20654,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,35913,Ciudad,Centro,Calle 12,203.68,10,7:20,11:07,ABC-540,1,No,OK
FR-17,7099,ERROR,Operador 8,2025-07-01,Recolección,59088,CDMX-Veracruz,Ruta 1,Cliente 5,CDMX,31706,Ciudad,Centro,Calle 72,171.98,7,23:44,18:07,ABC-123,2,No,Botón pánico
FR-18,3235,ERROR,Operador 49,2026-01-30,Traslado,99241,CDMX-Veracruz,Ruta 1,Cliente 8,CDMX,21731,Ciudad,Centro,Calle 26,73.11,1,13:21,20:43,ABC-471,3,No,Botón pánico
FR-19,1990,ERROR,Operador 22,2025-08-30,Entrega,18758,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,40725,Ciudad,Centro,Calle 26,296.25,7,3:00,15:11,ABC-642,1,Sí,Botón pánico
